"country","iso_code","year","cases_total","deaths_total"
"Burkina Faso","BFA",1991,537,61
"Burkina Faso","BFA",1995,1451,113
"Burkina Faso","BFA",1996,425,58
"Burkina Faso","BFA",1998,1036,52
"Burkina Faso","BFA",1999,93,7
"Burkina Faso","BFA",2000,617,14
"Burkina Faso","BFA",2001,477,7
"Burkina Faso","BFA",2003,1,NA
"Burkina Faso","BFA",2005,1050,16
"Burkina Faso","BFA",2006,0,0
"Burkina Faso","BFA",2008,0,0
"Burkina Faso","BFA",2011,20,2
"Burkina Faso","BFA",2012,143,7
"Burkina Faso","BFA",2021,3,0
"Burundi","BDI",1978,8297,248
"Burundi","BDI",1979,915,31
"Burundi","BDI",1980,2039,28
"Burundi","BDI",1981,582,11
"Burundi","BDI",1982,415,9
"Burundi","BDI",1983,512,35
"Burundi","BDI",1984,180,10
"Burundi","BDI",1985,259,15
"Burundi","BDI",1990,82,NA
"Burundi","BDI",1991,3,NA
"Burundi","BDI",1992,479,29
"Burundi","BDI",1993,78,0
"Burundi","BDI",1994,562,41
"Burundi","BDI",1995,2297,NA
"Burundi","BDI",1996,418,NA
"Burundi","BDI",1997,1959,95
"Burundi","BDI",1998,1067,26
"Burundi","BDI",1999,3440,63
"Burundi","BDI",2000,1021,16
"Burundi","BDI",2001,1003,20
"Burundi","BDI",2002,577,8
"Burundi","BDI",2003,432,18
"Burundi","BDI",2004,819,14
"Burundi","BDI",2005,1309,18
"Burundi","BDI",2006,886,7
"Burundi","BDI",2007,365,2
"Burundi","BDI",2008,234,4
"Burundi","BDI",2009,355,0
"Burundi","BDI",2010,333,1
"Burundi","BDI",2011,1072,1
"Burundi","BDI",2012,214,1
"Burundi","BDI",2013,1557,17
"Burundi","BDI",2014,582,9
"Burundi","BDI",2015,442,0
"Burundi","BDI",2016,434,5
"Burundi","BDI",2017,399,0
"Burundi","BDI",2018,92,1
"Burundi","BDI",2019,1145,9
"Burundi","BDI",2020,277,5
"Burundi","BDI",2021,11,0
"Cameroon","CMR",1971,2167,336
"Cameroon","CMR",1972,362,27
"Cameroon","CMR",1973,206,16
"Cameroon","CMR",1974,83,16
"Cameroon","CMR",1975,3,0
"Cameroon","CMR",1976,135,27
"Cameroon","CMR",1978,3,0
"Cameroon","CMR",1979,16,4
"Cameroon","CMR",1980,229,23
"Cameroon","CMR",1981,243,17
"Cameroon","CMR",1982,5,3
"Cameroon","CMR",1983,55,18
"Cameroon","CMR",1984,392,60
"Cameroon","CMR",1985,1158,103
"Cameroon","CMR",1986,165,12
"Cameroon","CMR",1987,94,6
"Cameroon","CMR",1988,4,0
"Cameroon","CMR",1989,4,2
"Cameroon","CMR",1990,16,0
"Cameroon","CMR",1991,4026,491
"Cameroon","CMR",1992,1268,66
"Cameroon","CMR",1993,648,19
"Cameroon","CMR",1994,527,61
"Cameroon","CMR",1995,615,21
"Cameroon","CMR",1996,5796,485
"Cameroon","CMR",1997,1709,180
"Cameroon","CMR",1998,4603,316
"Cameroon","CMR",1999,1584,35
"Cameroon","CMR",2000,123,29
"Cameroon","CMR",2001,259,7
"Cameroon","CMR",2002,66,8
"Cameroon","CMR",2003,207,36
"Cameroon","CMR",2004,8005,137
"Cameroon","CMR",2005,2847,110
"Cameroon","CMR",2006,922,35
"Cameroon","CMR",2007,10,1
"Cameroon","CMR",2008,0,0
"Cameroon","CMR",2009,804,89
"Cameroon","CMR",2010,10759,657
"Cameroon","CMR",2011,22433,783
"Cameroon","CMR",2012,363,5
"Cameroon","CMR",2013,29,0
"Cameroon","CMR",2014,3355,184
"Cameroon","CMR",2015,124,6
"Cameroon","CMR",2018,1052,58
"Cameroon","CMR",2019,1840,93
"Cameroon","CMR",2020,1890,73
"Cameroon","CMR",2021,728,23
"Cape Verde","CPV",1974,303,8
"Cape Verde","CPV",1975,20,3
"Cape Verde","CPV",1976,219,17
"Cape Verde","CPV",1994,128,12
"Cape Verde","CPV",1995,12913,240
"Cape Verde","CPV",1996,428,3
"Cape Verde","CPV",1998,133,1
"Cape Verde","CPV",2005,0,0
"Cape Verde","CPV",2006,0,0
"Central African Republic","CAF",1997,443,75
"Central African Republic","CAF",1998,22,3
"Central African Republic","CAF",2004,320,48
"Central African Republic","CAF",2005,0,0
"Central African Republic","CAF",2006,0,0
"Central African Republic","CAF",2011,117,15
"Central African Republic","CAF",2012,21,0
"Chad","TCD",1971,8230,2411
"Chad","TCD",1972,9,3
"Chad","TCD",1974,338,87
"Chad","TCD",1991,13915,1344
"Chad","TCD",1994,1094,43
"Chad","TCD",1996,7830,448
"Chad","TCD",1997,8801,443
"Chad","TCD",1998,4095,144
"Chad","TCD",1999,217,18
"Chad","TCD",2001,5244,226
"Chad","TCD",2003,55,7
"Chad","TCD",2004,5531,272
"Chad","TCD",2005,90,14
"Chad","TCD",2006,1668,71
"Chad","TCD",2007,0,0
"Chad","TCD",2009,67,6
"Chad","TCD",2010,6395,175
"Chad","TCD",2011,17267,458
"Chad","TCD",2017,1266,86
"Chad","TCD",2019,93,4
"Comoros","COM",1975,2675,238
"Comoros","COM",1976,5,1
"Comoros","COM",1998,7300,68
"Comoros","COM",1999,1180,42
"Comoros","COM",2000,3297,91
"Comoros","COM",2001,226,4
"Comoros","COM",2002,1567,46
"Comoros","COM",2003,56,0
"Comoros","COM",2004,1,0
"Comoros","COM",2005,0,0
"Comoros","COM",2006,0,0
"Comoros","COM",2007,1555,29
"Comoros","COM",2008,4,0
"Congo","COG",1978,51,14
"Congo","COG",1979,5,0
"Congo","COG",1997,275,60
"Congo","COG",1998,3222,22
"Congo","COG",1999,4813,20
"Congo","COG",2000,9,2
"Congo","COG",2005,0,0
"Congo","COG",2006,175,10
"Congo","COG",2007,7785,133
"Congo","COG",2008,156,4
"Congo","COG",2009,93,0
"Congo","COG",2011,762,NA
"Congo","COG",2012,1181,37
"Congo","COG",2013,1624,221
"Congo","COG",2016,15,2
"Congo","COG",2018,60,3
"Cote d'Ivoire","CIV",1970,868,39
"Cote d'Ivoire","CIV",1971,668,9
"Cote d'Ivoire","CIV",1979,3,0
"Cote d'Ivoire","CIV",1982,34,0
"Cote d'Ivoire","CIV",1991,604,116
"Cote d'Ivoire","CIV",1992,37,7
"Cote d'Ivoire","CIV",1993,724,42
"Cote d'Ivoire","CIV",1994,1108,55
"Cote d'Ivoire","CIV",1995,4993,184
"Cote d'Ivoire","CIV",1996,1345,22
"Cote d'Ivoire","CIV",2001,5912,305
"Cote d'Ivoire","CIV",2002,4188,143
"Cote d'Ivoire","CIV",2003,1034,50
"Cote d'Ivoire","CIV",2004,105,9
"Cote d'Ivoire","CIV",2005,39,6
"Cote d'Ivoire","CIV",2006,414,15
"Cote d'Ivoire","CIV",2007,8,1
"Cote d'Ivoire","CIV",2008,7,1
"Cote d'Ivoire","CIV",2009,5,2
"Cote d'Ivoire","CIV",2010,32,0
"Cote d'Ivoire","CIV",2011,1261,24
"Cote d'Ivoire","CIV",2012,424,19
"Cote d'Ivoire","CIV",2013,56,2
"Cote d'Ivoire","CIV",2014,235,12
"Cote d'Ivoire","CIV",2015,199,6
"Cote d'Ivoire","CIV",2021,12,0
"Democratic Republic of Congo","COD",1978,3481,183
"Democratic Republic of Congo","COD",1979,5515,511
"Democratic Republic of Congo","COD",1980,1051,81
"Democratic Republic of Congo","COD",1981,2379,800
"Democratic Republic of Congo","COD",1982,10328,693
"Democratic Republic of Congo","COD",1983,2977,245
"Democratic Republic of Congo","COD",1984,162,3
"Democratic Republic of Congo","COD",1985,740,30
"Democratic Republic of Congo","COD",1986,1059,125
"Democratic Republic of Congo","COD",1987,1150,218
"Democratic Republic of Congo","COD",1988,295,32
"Democratic Republic of Congo","COD",1989,99,6
"Democratic Republic of Congo","COD",1990,468,61
"Democratic Republic of Congo","COD",1991,4066,294
"Democratic Republic of Congo","COD",1992,1949,59
"Democratic Republic of Congo","COD",1993,986,175
"Democratic Republic of Congo","COD",1994,58057,4181
"Democratic Republic of Congo","COD",1995,553,22
"Democratic Republic of Congo","COD",1996,7886,638
"Democratic Republic of Congo","COD",1997,2421,326
"Democratic Republic of Congo","COD",1998,34899,2926
"Democratic Republic of Congo","COD",1999,12711,783
"Democratic Republic of Congo","COD",2000,14995,941
"Democratic Republic of Congo","COD",2001,5728,390
"Democratic Republic of Congo","COD",2002,31658,1979
"Democratic Republic of Congo","COD",2003,27272,989
"Democratic Republic of Congo","COD",2004,7665,228
"Democratic Republic of Congo","COD",2005,13430,244
"Democratic Republic of Congo","COD",2006,20642,426
"Democratic Republic of Congo","COD",2007,28269,600
"Democratic Republic of Congo","COD",2008,30150,548
"Democratic Republic of Congo","COD",2009,22899,237
"Democratic Republic of Congo","COD",2010,13884,182
"Democratic Republic of Congo","COD",2011,21700,584
"Democratic Republic of Congo","COD",2012,33661,819
"Democratic Republic of Congo","COD",2013,26944,491
"Democratic Republic of Congo","COD",2014,22203,372
"Democratic Republic of Congo","COD",2015,19182,276
"Democratic Republic of Congo","COD",2016,28093,759
"Democratic Republic of Congo","COD",2017,56190,1190
"Democratic Republic of Congo","COD",2018,30768,972
"Democratic Republic of Congo","COD",2019,30304,514
"Democratic Republic of Congo","COD",2020,19789,354
"Democratic Republic of Congo","COD",2021,12103,209
"Equatorial Guinea","GNQ",1984,404,31
"Equatorial Guinea","GNQ",1985,108,1
"Equatorial Guinea","GNQ",2004,59,1
"Equatorial Guinea","GNQ",2005,6391,33
"Equatorial Guinea","GNQ",2006,0,0
"Eritrea","ERI",2005,0,0
"Eritrea","ERI",2006,0,0
"Eritrea","ERI",2007,119,9
"Eritrea","ERI",2008,1,0
"Eswatini","SWZ",1978,2,NA
"Eswatini","SWZ",1981,238,17
"Eswatini","SWZ",1982,538,13
"Eswatini","SWZ",1992,2281,30
"Eswatini","SWZ",1996,2,0
"Eswatini","SWZ",1998,7,0
"Eswatini","SWZ",1999,7,0
"Eswatini","SWZ",2000,141,16
"Eswatini","SWZ",2001,5612,107
"Eswatini","SWZ",2002,134,2
"Eswatini","SWZ",2003,32,13
"Eswatini","SWZ",2004,1075,16
"Eswatini","SWZ",2005,0,0
"Eswatini","SWZ",2006,18,0
"Eswatini","SWZ",2007,0,0
"Eswatini","SWZ",2008,1,0
"Eswatini","SWZ",2009,19,0
"Ethiopia","ETH",1970,850,72
"Ethiopia","ETH",1971,2187,124
"Ethiopia","ETH",1982,0,0
"Ethiopia","ETH",2004,16,0
"Ethiopia","ETH",2005,0,0
"Ethiopia","ETH",2006,54070,575
"Ethiopia","ETH",2007,24121,272
"Ethiopia","ETH",2008,3862,23
"Ethiopia","ETH",2009,31509,434
"Ethiopia","ETH",2010,1682,21
"Ethiopia","ETH",2019,2615,36
"Ethiopia","ETH",2020,12226,176
"Ethiopia","ETH",2021,674,7
"Gabon","GAB",1979,5,2
"Gabon","GAB",1981,7,0
"Gabon","GAB",2002,6,NA
"Gabon","GAB",2003,629,0
"Gabon","GAB",2005,0,0
"Gabon","GAB",2006,0,0
"Gabon","GAB",2008,2,0
"Gambia","GMB",1985,2,0
"Gambia","GMB",1994,1,0
"Gambia","GMB",1995,15,0
"Gambia","GMB",1996,7,0
"Gambia","GMB",2005,214,13
"Gambia","GMB",2006,0,0
"Gambia","GMB",2007,12,1
"Gambia","GMB",2008,1,0
"Ghana","GHA",1970,2733,180
"Ghana","GHA",1971,13048,641
"Ghana","GHA",1972,625,32
"Ghana","GHA",1973,677,39
"Ghana","GHA",1974,483,37
"Ghana","GHA",1975,187,10
"Ghana","GHA",1976,102,0
"Ghana","GHA",1977,6565,353
"Ghana","GHA",1978,1853,120
"Ghana","GHA",1979,1783,113
"Ghana","GHA",1980,260,21
"Ghana","GHA",1981,943,62
"Ghana","GHA",1982,11051,1225
"Ghana","GHA",1983,14160,819
"Ghana","GHA",1984,1015,92
"Ghana","GHA",1985,60,0
"Ghana","GHA",1990,2937,60
"Ghana","GHA",1991,13172,409
"Ghana","GHA",1992,228,23
"Ghana","GHA",1993,1448,38
"Ghana","GHA",1994,2267,54
"Ghana","GHA",1995,4698,93
"Ghana","GHA",1996,1665,70
"Ghana","GHA",1997,379,12
"Ghana","GHA",1998,3426,108
"Ghana","GHA",1999,9432,260
"Ghana","GHA",2000,3331,74
"Ghana","GHA",2001,5487,160
"Ghana","GHA",2002,3614,65
"Ghana","GHA",2003,204,4
"Ghana","GHA",2004,407,6
"Ghana","GHA",2005,3166,51
"Ghana","GHA",2006,3357,107
"Ghana","GHA",2007,179,18
"Ghana","GHA",2008,1223,25
"Ghana","GHA",2009,1294,9
"Ghana","GHA",2010,438,3
"Ghana","GHA",2011,10628,105
"Ghana","GHA",2012,9548,100
"Ghana","GHA",2013,50,0
"Ghana","GHA",2014,28944,243
"Ghana","GHA",2015,692,8
"Ghana","GHA",2016,175,0
"Ghana","GHA",2019,1,0
"Ghana","GHA",2021,2,0
"Guinea","GIN",1970,2000,60
"Guinea","GIN",1986,286,58
"Guinea","GIN",1994,31415,671
"Guinea","GIN",1995,6506,565
"Guinea","GIN",1996,287,17
"Guinea","GIN",1998,881,53
"Guinea","GIN",1999,599,28
"Guinea","GIN",2000,519,32
"Guinea","GIN",2001,392,22
"Guinea","GIN",2002,61,11
"Guinea","GIN",2003,6,1
"Guinea","GIN",2004,1516,117
"Guinea","GIN",2005,3821,107
"Guinea","GIN",2006,3242,219
"Guinea","GIN",2007,8546,311
"Guinea","GIN",2008,513,32
"Guinea","GIN",2009,42,0
"Guinea","GIN",2011,3,0
"Guinea","GIN",2012,7350,133
"Guinea","GIN",2013,319,32
"Guinea","GIN",2014,1,0
"Guinea-Bissau","GNB",1986,200,50
"Guinea-Bissau","GNB",1987,6000,68
"Guinea-Bissau","GNB",1994,15296,285
"Guinea-Bissau","GNB",1995,119,0
"Guinea-Bissau","GNB",1996,8397,84
"Guinea-Bissau","GNB",1997,20555,905
"Guinea-Bissau","GNB",1998,126,2
"Guinea-Bissau","GNB",2002,842,6
"Guinea-Bissau","GNB",2003,290,2
"Guinea-Bissau","GNB",2004,155,3
"Guinea-Bissau","GNB",2005,25111,399
"Guinea-Bissau","GNB",2006,37,0
"Guinea-Bissau","GNB",2007,153,8
"Guinea-Bissau","GNB",2008,14323,225
"Guinea-Bissau","GNB",2009,5,0
"Guinea-Bissau","GNB",2012,3068,22
"Guinea-Bissau","GNB",2013,969,28
"Guinea-Bissau","GNB",2014,11,2
"Kenya","KEN",1971,239,38
"Kenya","KEN",1972,51,0
"Kenya","KEN",1974,402,20
"Kenya","KEN",1975,1093,74
"Kenya","KEN",1976,1359,59
"Kenya","KEN",1977,21,0
"Kenya","KEN",1978,673,17
"Kenya","KEN",1979,1070,2
"Kenya","KEN",1980,2808,42
"Kenya","KEN",1981,2424,108
"Kenya","KEN",1982,3498,91
"Kenya","KEN",1983,1049,53
"Kenya","KEN",1984,14,0
"Kenya","KEN",1985,1352,102
"Kenya","KEN",1986,839,45
"Kenya","KEN",1987,255,12
"Kenya","KEN",1989,918,32
"Kenya","KEN",1992,3388,100
"Kenya","KEN",1994,880,28
"Kenya","KEN",1995,1547,39
"Kenya","KEN",1996,482,14
"Kenya","KEN",1997,17200,555
"Kenya","KEN",1998,22432,1237
"Kenya","KEN",1999,11039,350
"Kenya","KEN",2000,1157,78
"Kenya","KEN",2001,1001,55
"Kenya","KEN",2002,291,10
"Kenya","KEN",2004,870,15
"Kenya","KEN",2005,816,21
"Kenya","KEN",2006,870,11
"Kenya","KEN",2007,1206,67
"Kenya","KEN",2008,3091,113
"Kenya","KEN",2009,11425,264
"Kenya","KEN",2010,3188,63
"Kenya","KEN",2011,74,2
"Kenya","KEN",2014,35,9
"Kenya","KEN",2015,13291,67
"Kenya","KEN",2016,5866,80
"Kenya","KEN",2017,4288,82
"Kenya","KEN",2018,5719,78
"Kenya","KEN",2019,5208,141
"Kenya","KEN",2020,447,12
"Kenya","KEN",2021,38,0
"Lesotho","LSO",2005,0,0
"Lesotho","LSO",2006,0,0
"Liberia","LBR",1970,168,27
"Liberia","LBR",1971,606,106
"Liberia","LBR",1972,947,28
"Liberia","LBR",1973,1336,27
"Liberia","LBR",1974,512,12
"Liberia","LBR",1975,704,16
"Liberia","LBR",1976,646,10
"Liberia","LBR",1977,512,18
"Liberia","LBR",1978,422,9
"Liberia","LBR",1979,438,6
"Liberia","LBR",1980,2690,55
"Liberia","LBR",1981,1582,33
"Liberia","LBR",1982,670,8
"Liberia","LBR",1983,183,12
"Liberia","LBR",1984,492,8
"Liberia","LBR",1985,355,3
"Liberia","LBR",1986,59,0
"Liberia","LBR",1987,33,1
"Liberia","LBR",1988,68,1
"Liberia","LBR",1989,28,0
"Liberia","LBR",1991,132,40
"Liberia","LBR",1994,764,17
"Liberia","LBR",1995,3420,126
"Liberia","LBR",1996,8922,169
"Liberia","LBR",1997,91,0
"Liberia","LBR",1998,2123,17
"Liberia","LBR",1999,215,0
"Liberia","LBR",2000,365,10
"Liberia","LBR",2001,1062,0
"Liberia","LBR",2002,1115,0
"Liberia","LBR",2003,34740,38
"Liberia","LBR",2004,2786,4
"Liberia","LBR",2005,3823,18
"Liberia","LBR",2006,4929,17
"Liberia","LBR",2007,3063,7
"Liberia","LBR",2008,1236,3
"Liberia","LBR",2009,1070,2
"Liberia","LBR",2010,1546,0
"Liberia","LBR",2011,1146,NA
"Liberia","LBR",2012,219,0
"Liberia","LBR",2013,92,0
"Liberia","LBR",2014,44,0
"Liberia","LBR",2018,2,0
"Liberia","LBR",2021,167,0
"Madagascar","MDG",1971,2,0
"Madagascar","MDG",1996,0,0
"Madagascar","MDG",1999,9973,549
"Madagascar","MDG",2000,29305,1672
"Madagascar","MDG",2001,7219,413
"Madagascar","MDG",2002,27,0
"Madagascar","MDG",2003,5,0
"Madagascar","MDG",2005,0,0
"Madagascar","MDG",2006,0,0
"Malawi","MWI",1973,371,20
"Malawi","MWI",1976,19,0
"Malawi","MWI",1977,577,0
"Malawi","MWI",1978,263,24
"Malawi","MWI",1981,261,0
"Malawi","MWI",1983,487,49
"Malawi","MWI",1988,6,0
"Malawi","MWI",1989,8351,16
"Malawi","MWI",1990,13457,481
"Malawi","MWI",1991,8088,245
"Malawi","MWI",1992,298,8
"Malawi","MWI",1993,25193,524
"Malawi","MWI",1994,107,11
"Malawi","MWI",1995,1,0
"Malawi","MWI",1996,1,0
"Malawi","MWI",1997,130,15
"Malawi","MWI",1998,1745,74
"Malawi","MWI",1999,26508,648
"Malawi","MWI",2000,2391,56
"Malawi","MWI",2001,2395,42
"Malawi","MWI",2002,32618,911
"Malawi","MWI",2003,2736,34
"Malawi","MWI",2004,675,4
"Malawi","MWI",2005,1105,11
"Malawi","MWI",2006,4148,55
"Malawi","MWI",2007,475,5
"Malawi","MWI",2008,831,26
"Malawi","MWI",2009,5751,125
"Malawi","MWI",2010,1155,17
"Malawi","MWI",2011,120,4
"Malawi","MWI",2012,187,2
"Malawi","MWI",2015,693,11
"Malawi","MWI",2016,1792,46
"Malawi","MWI",2017,344,5
"Malawi","MWI",2018,812,27
"Malawi","MWI",2019,23,0
"Malawi","MWI",2020,3,0
"Malawi","MWI",2021,2,0
"Mali","MLI",1970,2665,201
"Mali","MLI",1971,4792,1321
"Mali","MLI",1972,2,0
"Mali","MLI",1973,219,32
"Mali","MLI",1974,130,21
"Mali","MLI",1984,1795,406
"Mali","MLI",1985,3759,838
"Mali","MLI",1986,1916,151
"Mali","MLI",1987,352,84
"Mali","MLI",1995,2191,231
"Mali","MLI",1996,5723,761
"Mali","MLI",1997,6,3
"Mali","MLI",1999,6,3
"Mali","MLI",2000,1885,51
"Mali","MLI",2001,67,9
"Mali","MLI",2002,18,2
"Mali","MLI",2003,1455,119
"Mali","MLI",2004,2839,205
"Mali","MLI",2005,1178,76
"Mali","MLI",2006,7,0
"Mali","MLI",2008,153,5
"Mali","MLI",2011,2220,95
"Mali","MLI",2012,219,19
"Mali","MLI",2013,23,2
"Mali","MLI",2021,12,4
"Mauritania","MRT",1971,1139,53
"Mauritania","MRT",1972,148,24
"Mauritania","MRT",1973,150,22
"Mauritania","MRT",1984,166,15
"Mauritania","MRT",1985,259,20
"Mauritania","MRT",1986,3734,113
"Mauritania","MRT",1987,1578,101
"Mauritania","MRT",1988,575,38
"Mauritania","MRT",1989,700,27
"Mauritania","MRT",1996,4534,148
"Mauritania","MRT",1997,462,7
"Mauritania","MRT",2002,80,0
"Mauritania","MRT",2003,34,8
"Mauritania","MRT",2005,4132,70
"Mauritania","MRT",2006,25,0
"Mauritania","MRT",2007,3,0
"Mauritania","MRT",2011,46,3
"Mauritius","MUS",2005,0,0
"Mauritius","MUS",2006,0,0
"Mozambique","MOZ",1973,453,87
"Mozambique","MOZ",1974,1018,138
"Mozambique","MOZ",1975,11,3
"Mozambique","MOZ",1976,3,2
"Mozambique","MOZ",1977,18,3
"Mozambique","MOZ",1979,4564,547
"Mozambique","MOZ",1980,1212,85
"Mozambique","MOZ",1981,1753,132
"Mozambique","MOZ",1982,2301,199
"Mozambique","MOZ",1983,10745,447
"Mozambique","MOZ",1984,521,11
"Mozambique","MOZ",1985,3,0
"Mozambique","MOZ",1986,1,0
"Mozambique","MOZ",1989,371,12
"Mozambique","MOZ",1990,4152,194
"Mozambique","MOZ",1991,7847,328
"Mozambique","MOZ",1992,30802,727
"Mozambique","MOZ",1993,19803,507
"Mozambique","MOZ",1994,692,27
"Mozambique","MOZ",1996,0,0
"Mozambique","MOZ",1997,8739,259
"Mozambique","MOZ",1998,42672,1353
"Mozambique","MOZ",1999,44329,1194
"Mozambique","MOZ",2000,17649,238
"Mozambique","MOZ",2001,8794,102
"Mozambique","MOZ",2002,24375,342
"Mozambique","MOZ",2003,13758,102
"Mozambique","MOZ",2004,20080,110
"Mozambique","MOZ",2005,2226,24
"Mozambique","MOZ",2006,6306,29
"Mozambique","MOZ",2007,2622,22
"Mozambique","MOZ",2008,9087,102
"Mozambique","MOZ",2009,19679,155
"Mozambique","MOZ",2010,7430,117
"Mozambique","MOZ",2011,1279,5
"Mozambique","MOZ",2012,647,7
"Mozambique","MOZ",2013,1869,19
"Mozambique","MOZ",2014,480,1
"Mozambique","MOZ",2015,8739,64
"Mozambique","MOZ",2016,883,2
"Mozambique","MOZ",2017,5892,10
"Mozambique","MOZ",2018,910,0
"Mozambique","MOZ",2019,7010,8
"Mozambique","MOZ",2020,3787,4
"Mozambique","MOZ",2021,5072,21
"Namibia","NAM",2005,0,0
"Namibia","NAM",2006,185,5
"Namibia","NAM",2007,14,0
"Namibia","NAM",2008,3496,38
"Namibia","NAM",2009,159,3
"Namibia","NAM",2013,3,0
"Namibia","NAM",2014,485,13
"Niger","NER",1970,16,8
"Niger","NER",1971,9265,2344
"Niger","NER",1972,51,12
"Niger","NER",1973,121,16
"Niger","NER",1974,286,75
"Niger","NER",1981,7,0
"Niger","NER",1984,3788,308
"Niger","NER",1989,166,22
"Niger","NER",1991,3238,367
"Niger","NER",1994,732,83
"Niger","NER",1995,264,15
"Niger","NER",1996,3957,206
"Niger","NER",1997,259,13
"Niger","NER",1999,1186,85
"Niger","NER",2000,225,38
"Niger","NER",2001,81,1
"Niger","NER",2002,236,12
"Niger","NER",2003,292,11
"Niger","NER",2004,2178,57
"Niger","NER",2005,553,55
"Niger","NER",2006,1232,81
"Niger","NER",2007,24,2
"Niger","NER",2008,972,70
"Niger","NER",2010,1154,66
"Niger","NER",2011,2324,60
"Niger","NER",2012,5284,110
"Niger","NER",2013,585,13
"Niger","NER",2014,2059,80
"Niger","NER",2015,51,4
"Niger","NER",2016,38,6
"Niger","NER",2018,3900,78
"Niger","NER",2021,5591,166
"Nigeria","NGA",1970,15,4
"Nigeria","NGA",1971,22931,2945
"Nigeria","NGA",1972,1363,96
"Nigeria","NGA",1973,157,27
"Nigeria","NGA",1975,38,1
"Nigeria","NGA",1976,112,25
"Nigeria","NGA",1977,376,10
"Nigeria","NGA",1978,197,20
"Nigeria","NGA",1979,293,4
"Nigeria","NGA",1980,138,25
"Nigeria","NGA",1981,107,18
"Nigeria","NGA",1982,248,18
"Nigeria","NGA",1983,178,2
"Nigeria","NGA",1984,1667,185
"Nigeria","NGA",1985,30,0
"Nigeria","NGA",1986,91,23
"Nigeria","NGA",1987,1290,111
"Nigeria","NGA",1988,137,10
